m/z,I,S/N
354.11945,8.2718,150.52
354.12756,7.9539,144.72
354.13069,0.5287,9.27
354.13471,0.4568,7.96
354.13878,0.6045,10.65
354.15584,1.9238,34.72
354.16395,3.158,57.23
354.2037,0.377,6.5
355.04931,0.5054,8.85
355.06708,3.9995,72.59
355.08234,0.7079,12.54
355.08571,1.3278,23.85
355.08642,0.6147,10.84
355.09539,0.8496,15.12
355.09695,0.4311,7.49
355.10347,27.4007,499.47
355.1147,2.2955,41.5
355.11872,1.5741,28.34
355.12209,0.7784,13.83
355.1228,1.3033,23.4
355.12846,0.7133,12.64
355.12996,0.5699,10.02
355.13091,0.6932,12.27
355.13176,0.6449,11.39
355.13847,0.3954,6.84
355.13985,25.5579,465.85
355.15109,0.8548,15.22
355.15511,1.3082,23.49
355.17624,4.1168,74.72
355.1915,0.5658,9.95
356.06235,0.4497,7.83
356.07043,0.5808,10.22
356.07758,0.4537,7.9
356.08096,0.7871,13.98
356.09872,3.383,61.34
356.10682,4.4562,80.92
356.11397,0.5501,9.66
356.12208,0.5018,8.78
356.1351,2.9881,54.14
356.14321,4.1932,76.12
356.17961,0.725,12.85
357.0616,0.7243,12.84
357.06497,1.2507,22.44
357.07284,0.4187,7.26
357.07465,0.7587,13.47
357.07621,0.3842,6.64
357.08273,5.4034,98.2
357.09799,1.9905,35.94
357.10136,2.1408,38.68
357.10207,0.5843,10.29
357.10772,0.4595,8.01
357.10922,0.831,14.79
357.11017,0.4473,7.79
357.11105,0.8651,15.41
357.11744,0.6174,10.89
357.11782,0.4855,8.48
357.11912,16.1306,293.88
357.13036,0.6048,10.66
357.13438,3.0615,55.47
357.13846,0.5375,9.43
357.14412,0.4649,8.11
357.14561,0.5189,9.09
357.14743,0.5035,8.81
357.1555,6.305,114.64
357.17076,1.575,28.36
357.1919,0.3971,6.87
357.20713,0.3815,6.59
357.27744,0.3797,6.55
358.05685,0.3913,6.76
358.06022,0.7026,12.44
358.08608,0.9458,16.88
358.09324,0.8819,15.71
358.09661,0.785,13.95
358.10134,0.4811,8.4
358.11437,1.3187,23.68
358.12247,2.9434,53.32
358.12961,1.1393,20.41
358.13773,0.7787,13.83
358.15076,0.4936,8.63
358.15886,1.1526,20.65
358.16602,0.5987,10.55
358.1741,0.4704,8.21
358.92894,0.4777,8.34
358.92936,0.3861,6.67
358.92966,0.505,8.84
358.93006,0.7108,12.59
359.04424,0.5043,8.83
359.06199,0.523,9.17
359.07725,1.9154,34.57
359.08062,2.9414,53.28
359.08849,1.028,18.38
359.09031,1.3483,24.22
359.09185,0.6241,11.01
359.09838,3.7823,68.62
359.10155,0.424,7.36
359.11364,5.5538,100.94
359.11701,2.0906,37.76
359.12337,0.4822,8.42
359.12487,1.7359,31.29
359.12583,0.4009,6.94
359.1267,0.8779,15.64
359.13476000000003,5.2138,94.74
359.15002,5.8304,105.98
359.16125,0.6091,10.74
359.17114,0.8856,15.78
359.1864,1.7016,30.67
360.07249,0.8321,14.8
360.07586,0.721,12.78
360.0806,0.4538,7.9
360.09366,0.4911,8.58
360.10172,0.568,9.99
360.10888,2.4612,44.52
360.11225,0.7367,13.06
360.11699,1.1877,21.29
360.12011,0.9687,17.3
360.13001,0.4911,8.59
360.13811,0.8169,14.53
360.14526,1.772,31.95
360.15337,1.3354,23.99
360.18167,0.4049,7.01
360.18976,0.499,8.73
361.05651,1.0987,19.67
361.05989,1.2818,23.01
361.06773,0.4391,7.64
361.06958,0.6081,10.72
361.08737,0.4809,8.4
361.0929,6.7234,122.27
361.09626,3.5134,63.72
361.10413,2.6862,48.63
361.10595,1.3296,23.88
361.11224,0.4582,7.99
361.11402,1.4539,26.15
361.12764,0.3947,6.83
361.12928,13.4976,245.85
361.13265,0.9157,16.33
361.14051,2.4739,44.76
361.14233,0.3817,6.59
361.14864,0.4204,7.29
361.15041,0.7273,12.89
361.16566,7.5797,137.89
361.17689,0.3872,6.69
361.20206,1.0727,19.19
362.08814,2.4136,32.39
362.09152,0.5917,7.51
362.09625,1.4634,19.41
362.09939,0.6891,8.84
362.09962,0.7161,9.21
362.10749,0.5717,7.24
362.12453,4.0532,54.78
362.13263,2.6168,35.16
362.13576,1.2111,15.97
362.14387,0.4586,5.69
362.16091,1.5251,20.26
362.16902,1.6108,21.43
362.94166,0.4041,4.95
363.07215,3.5323,47.66
363.07552,1.3433,17.77
363.08339,1.6334,21.73
363.08523,0.662,8.47
363.10854,19.5293,266.09
363.11192,1.6156,21.49
363.11346,0.3921,4.79
363.11977,4.8805,66.07
363.12159,0.5183,6.51
363.12788,0.8344,10.82
363.13599,0.482,6.01
363.1431,0.4934,6.17
363.14343,0.4558,5.65
363.14492,19.7872,269.61
363.15616,1.5689,20.85
363.18131,5.6311,76.32
363.21772,0.5304,6.67
364.0496,0.4247,5.23
364.0674,0.9967,13.04
364.07551,0.8558,11.12
364.07892,0.4303,5.31
364.10379,5.7914,78.51
364.11189,3.535,47.7
364.11503,1.2583,16.61
364.12314,0.9217,12.02
364.14018,4.5362,61.37
364.14828,4.2008,56.79
364.15141,0.551,6.95
364.15951,0.4111,5.05
364.17656,0.8891,11.57
364.18466,1.3029,17.22
364.71382,0.3964,4.84
364.91918,0.8636,11.22
364.91941,3.5147,47.42
364.9198,2.2492,30.14
364.92005,0.5854,7.43
364.92031,1.5221,20.21
364.92054,0.6783,8.69
365.05143,1.1059,14.53
365.07005,0.5069,6.35
365.0878,14.3413,195.25
365.09117,0.8437,10.95
365.09904,4.4688,60.45
365.10085,0.4283,5.28
365.10714,1.0759,14.12
365.11525,0.4883,6.1
365.12241,0.6492,8.3
365.12262,0.545,6.87
365.12419,37.6714,513.81
365.12551,0.3864,4.71
365.12611,0.536,6.75
365.12756,0.5658,7.16
365.13542,5.1723,70.06
365.14353,0.7301,9.4
365.15165,0.5805,7.36
365.16057,19.4364,264.82
365.17182,0.6513,8.33
365.19696,2.6123,35.1
365.21559,0.9029,11.76
365.33198,0.4311,5.32
366.08305,3.9006,52.69
