m/z,I,S/N
350.48282,0.547,6.33
350.48978,0.5688,6.6
350.49538,0.5436,6.29
351.03575,0.9348,11.2
351.06973,0.6231,7.29
351.07214,10.5597,132.09
351.0755,0.587,6.83
351.08337,5.779,72.05
351.08519,0.5974,6.96
351.09147,1.1164,13.48
351.10852,38.3159,480.71
351.10899,0.94,11.27
351.10915,0.9211,11.03
351.10945,0.7472,8.85
351.11189,0.5142,5.92
351.11976,11.8382,148.15
351.12786,1.5105,18.43
351.13098,0.7241,8.56
351.13594,0.5623,6.52
351.14491,37.2652,467.52
351.14564,1.0986,13.26
351.14614,1.5297,18.67
351.14636,1.5132,18.47
351.14713,0.708,8.35
351.15615,2.5475,31.46
351.16426,0.5983,6.98
351.1813,9.4886,118.64
351.21768,0.9918,11.92
352.06739,3.8743,48.12
352.07549,1.9407,23.84
352.07859,0.6365,7.46
352.08673,1.0043,12.08
352.10377,12.4851,156.27
352.11188,7.4114,92.55
352.11501,2.7388,33.86
352.12311,2.1286,26.2
352.14016,7.0707,88.27
352.14826,8.0105,100.07
352.15139,0.9324,11.17
352.1595,0.6757,7.95
352.17654,1.473,17.96
352.18465,2.0128,24.74
352.84888,1.0488,12.63
352.85819,0.6357,7.45
352.94895,0.5451,6.31
353.05142,4.3571,54.19
353.06265,0.9721,11.67
353.07076,0.6297,7.37
353.0878,34.4068,431.62
353.09748,0.5353,6.18
353.09904,11.6134,145.33
353.10714,2.1799,26.84
353.11279,0.5938,6.92
353.11526,0.6863,8.08
353.11611,0.5637,6.54
353.11839,0.5534,6.41
353.11898,0.5057,5.81
353.11972,0.5451,6.31
353.1225,1.282,15.56
353.12269,1.2516,15.18
353.12419,59.1482,742.37
353.12847,0.5275,6.09
353.12877,0.6496,7.62
353.12899,0.6375,7.47
353.13542,7.6324,95.32
353.13945,0.6471,7.59
353.14353,1.429,17.41
353.14914,0.7137,8.43
353.15163,0.7408,8.77
353.15895,0.5801,6.75
353.15931,0.5851,6.81
353.16058,28.9487,363.06
353.17183,0.6892,8.12
353.17583,0.5195,5.99
353.19696,3.7334,46.35
354.04666,0.6433,7.54
354.05478,0.8112,9.65
354.08305,10.2192,127.82
354.09116,5.9339,73.99
354.0943,0.9793,11.76
354.10239,1.9396,23.82
354.108,0.5147,5.93
354.11944,12.0012,150.2
354.12754,11.3592,142.13
354.13067,1.7083,20.92
354.13879,1.1704,14.16
354.15582,3.462,42.94
354.16392,5.4428,67.82
354.19221,0.4992,5.73
354.2003,0.9814,11.79
354.84683,0.7418,8.78
355.03068,0.6063,7.08
355.04929,0.5898,6.87
355.06707,13.4231,168.06
355.0783,1.882,23.1
355.08234,0.5551,6.43
355.08569,0.7419,8.78
355.08641,1.5028,18.34
355.09205,0.6944,8.18
355.0954,0.8269,9.85
355.09847,0.8982,10.74
355.0987,0.9551,11.46
355.09899,0.7693,9.12
355.1018,0.6308,7.38
355.10216,0.7264,8.58
355.10345,46.5479,584.11
355.10508,0.5261,6.07
355.11468,6.6692,83.23
355.11871,1.0534,12.69
355.12279,2.0257,24.9
355.12843,0.7564,8.96
355.12993,0.6598,7.75
355.1309,0.8627,10.3
