m/z,I,S/N
338.05986,4.2788,33.46
338.06702,1.3801,10.73
338.08814,3.5851,28.02
338.09625,7.3459,57.52
338.12452,1.7443,13.58
338.13263,6.5129,50.98
338.16901,1.9121,14.9
338.76555,2.5597,19.98
338.8873,6.2619,49.01
339.01464,2.3259,18.14
339.03577,15.7841,123.7
339.05102,6.1971,48.51
339.06408,1.2391,9.62
339.07216,42.1766,330.7
339.08337,1.208,9.38
339.08741,5.437,42.55
339.10854,53.8223,422.04
339.12379,3.7851,29.59
339.14493,20.9919,164.55
339.16018,9.1219,71.45
339.18131,2.3402,18.26
339.19994,1.9711,15.36
340.03911,3.3891,26.48
340.04626,1.585,12.33
340.05436,1.2185,9.46
340.0674,3.0635,23.93
340.07551,7.1971,56.35
340.10379,2.8191,22.01
340.1119,9.6052,75.24
340.14828,4.3774,34.23
340.16353,2.4114,18.81
340.82212,1.4195,11.04
340.88526,11.5075,90.16
340.9939,1.4361,11.17
341.01503,3.0262,23.64
341.03029,5.8511,45.79
341.03366,1.6996,13.23
341.04336,1.3684,10.63
341.05142,26.339,206.48
341.06668,8.7312,68.38
341.07005,1.6256,12.65
341.07975,1.4777,11.49
341.0878,49.3709,387.13
341.10306,6.9425,54.35
341.11429,1.2684,9.85
341.12419,34.2392,268.45
341.13945,4.5293,35.43
341.16058,6.3846,49.98
341.17583,2.2182,17.3
341.8886,1.7697,13.78
341.99826,1.1924,9.25
342.02553,1.236,9.6
342.05478,3.79,29.63
342.06193,2.1821,17.02
342.07003,1.7074,13.29
342.08305,1.8539,14.44
342.09116,7.394,57.89
342.09833,1.7009,13.24
342.12755,5.8534,45.81
342.76104,3.8618,30.19
342.8014,1.3106,10.18
342.82008,1.8065,14.07
342.88322,5.2926,41.41
343.00956,2.7042,21.11
343.03068,5.4162,42.38
343.04594,9.3138,72.95
343.04931,1.2668,9.84
343.05901,2.3545,18.37
343.06707,21.5054,168.57
343.08233,10.9735,85.97
343.08569,2.4956,19.48
343.0954,1.5877,12.35
343.10346,24.34,190.81
343.11872,8.2773,64.82
343.13985,8.4267,65.99
343.1551,4.3617,34.11
343.19149,1.5747,12.25
344.04119,2.3347,18.21
344.04929,1.863,14.51
344.07042,3.437,26.86
344.07758,2.329,18.17
344.08568,2.5083,19.57
344.10681,4.3284,33.85
