m/z,I,S/N
349.16563,6.9351,113.45
349.17684,0.5127,8.05
349.20202,0.8875,14.2
350.08811,2.7724,45.13
350.09622,0.8453,13.5
350.09934,2.7428,44.65
350.10744,1.266,20.41
350.1245,4.5939,75.03
350.1326,2.1704,35.25
350.13573,3.508,57.21
350.14382,0.9262,14.83
350.16088,1.7857,28.94
350.16899,1.4238,23
350.39571,0.437,6.8
350.39812,0.4193,6.51
350.4003,0.4477,6.98
350.40062,0.4188,6.51
350.40489,0.4379,6.82
350.40756,0.4333,6.74
350.41075,0.5469,8.61
350.41648,0.4252,6.61
350.42004,0.5987,9.46
350.42197,0.5054,7.93
350.42332,0.4396,6.85
350.42369,0.7027,11.17
350.4247,0.4712,7.36
350.42552,0.4952,7.76
350.42791,0.4159,6.46
350.42892,0.5423,8.53
350.44538,0.4126,6.4
350.77052,0.4112,6.38
350.85088,0.5895,9.31
351.07212,2.4519,39.87
351.08335,4.4119,72.04
351.09144,0.5251,8.25
351.1027,0.5622,8.86
351.10851,12.3746,202.73
351.11974,11.4599,187.72
351.12785,0.8054,12.85
351.13098,0.6032,9.53
351.13908,0.6846,10.87
351.14489,15.2175,249.39
351.15613,2.9545,48.12
351.16422,0.536,8.43
351.18128,3.8829,63.36
351.21766,0.4518,7.05
352.06738,1.4632,23.65
352.07546,0.6164,9.75
352.07861,0.5377,8.46
352.08671,0.9285,14.87
352.10375,5.8301,95.32
352.11186,2.6262,42.73
352.11499,3.6045,58.79
352.1231,2.1536,34.98
352.14014,4.5783,74.77
352.14825,3.2807,53.48
352.15137,1.505,24.33
352.15949,0.4687,7.32
352.17653,1.0123,16.25
352.18464,0.8102,12.93
352.84885,1.0349,16.62
352.85819,0.4994,7.83
353.0514,0.7683,12.24
353.06263,0.6138,9.71
353.08779,8.7536,143.3
353.09097,0.4093,6.35
353.09902,8.7522,143.28
353.10713,1.1644,18.74
353.11837,0.6765,10.74
353.12252,0.6253,9.9
353.12275,0.5272,8.29
353.12301,0.5408,8.51
353.12418,19.2729,315.95
353.13541,6.6572,108.89
353.13942,0.574,9.05
353.1435,0.8087,12.91
353.16056,10.933,179.07
353.1718,0.8483,13.56
353.17581,0.5209,8.18
353.19695,1.3447,21.7
354.08303,3.4069,55.55
354.09114,1.546,25.01
354.09427,0.8674,13.87
354.10237,1.3905,22.45
354.10798,0.4088,6.34
354.11942,5.4384,88.89
354.12752,3.5329,57.61
354.13065,1.6099,26.05
354.13876,1.1557,18.6
354.1558,2.0155,32.71
354.16391,1.9809,32.14
354.84682,0.5079,7.97
355.06705,2.6302,42.8
355.07829,0.9045,14.48
355.08638,0.6274,9.93
355.10344,11.5886,189.83
355.11467,4.6566,76.06
355.11869,0.7136,11.34
355.12278,0.809,12.91
355.12838,0.4682,7.32
355.12992,0.4221,6.56
355.13175,0.4385,6.83
355.13983,10.6452,174.35
355.15106,1.2391,19.97
355.15508,1.1901,19.16
355.17621,2.4599,40
355.19146,0.4273,6.64
356.06229,0.5017,7.87
356.07044,0.6076,9.6
356.09869,2.6399,42.96
356.1068,1.8897,30.65
356.10993,0.5023,7.88
356.11395,0.4012,6.22
356.11802,0.6362,10.07
356.12518,0.6314,10
356.13507,1.6872,27.32
356.14318,1.6597,26.87
356.15034000000003,0.4545,7.09
356.16155,0.4166,6.47
356.17144,0.5393,8.48
356.17957,0.4504,7.02
356.81701,0.4416,6.88
357.04631,0.4118,6.39
357.07617,0.6933,11.01
357.08271,3.8194,62.32
357.08587,0.671,10.64
357.09394,0.6981,11.09
357.09796,0.9358,14.99
357.10205,0.5062,7.94
357.10919,0.8982,14.37
357.11101,0.6618,10.49
357.11909000000003,6.2645,102.45
357.13032,0.8129,12.97
357.13435,1.6989,27.52
357.14558,0.7398,11.77
357.15547,2.6038,42.37
357.17073,1.1929,19.21
357.2071,0.431,6.71
358.07794,0.5677,8.95
358.08606,0.6774,10.75
358.09322,0.5345,8.41
358.10444,0.7603,12.11
358.10625,0.5533,8.71
358.11434,1.3064,21.07
358.12244,1.2108,19.51
358.12958,0.8501,13.58
358.14083,1.3928,22.49
358.15883,0.6831,10.84
358.16597,0.6568,10.41
358.17722,0.4322,6.73
358.81497,0.8587,13.73
359.06196,0.7231,11.5
359.07723,0.7433,11.83
359.08059,0.7562,12.04
359.08846,0.8537,13.64
359.09028,0.5381,8.46
359.09183,0.6426,10.18
359.09835,2.5507,41.5
359.10152,0.7115,11.31
359.11361,2.8965,47.17
359.11697,0.5019,7.87
359.12484,2.4283,39.49
359.12667,0.7603,12.11
359.13474,2.091,33.95
359.13605,0.4436,6.91
359.14417,0.5208,8.18
359.15,3.7808,61.68
359.16122,1.1915,19.19
359.17111,0.6076,9.6
359.18638,1.5623,25.27
360.07246,0.5124,8.04
360.07585,0.4136,6.42
360.08369,0.4729,7.39
360.10171,0.4969,7.79
360.10886,1.7123,27.74
360.11697,0.5656,8.91
360.12009,2.485,40.42
360.12822,0.4359,6.79
360.1381,0.5015,7.86
360.14524,1.724,27.93
360.15335,1.0163,16.31
360.15648,1.62,26.22
360.16457,0.4083,6.33
360.18162,0.4762,7.45
360.18974,0.4497,7.01
360.81294,0.4515,7.04
360.87164,0.4037,6.26
361.05649,0.5085,7.98
361.05988,0.527,8.28
361.06772,0.4813,7.53
361.07762,0.4064,6.3
361.09287,3.1548,51.41
361.09625,0.5557,8.75
361.10411,4.1227,67.29
361.10593,0.647,10.25
361.114,0.9049,14.48
361.12344,0.448,6.99
361.12926,8.9402,146.36
361.14049,3.9914,65.14
361.16564,6.1414,100.43
361.17688,0.8338,13.32
361.20203,1.1666,18.78
361.22315,3.2133,52.37
362.08812,1.7959,29.11
362.09621,0.6931,11.01
362.09935,2.4866,40.44
362.10746,0.6595,10.46
362.1245,3.4966,57.02
362.13261,1.8874,30.61
362.13574,3.9171,63.92
362.14384,0.8519,13.61
362.16089,1.9282,31.28
362.16899,1.3516,21.82
362.17212,0.909,14.55
362.19727,0.6184,9.78
362.22652,0.501,7.86
362.46448,0.4261,6.63
362.86959,0.6061,9.58
362.94205,0.6595,10.46
363.07213,2.1584,35.06
363.08336,3.1268,50.95
363.10852,10.4064,170.43
363.11976,8.8306,144.56
363.12788,0.627,9.92
363.13099,0.5872,9.27
363.13909,0.7895,12.59
363.14491,15.0658,246.9
363.15614,3.4028,55.48
363.18129,5.2088,85.12
363.21768,0.4589,7.16
363.68611,0.4005,6.21
364.0674,1.0462,16.8
364.07863,0.6418,10.17
364.08672,0.5144,8.08
364.10377,4.9756,81.29
364.11187,2.0637,33.5
364.115,4.9887,81.51
364.12312,1.5839,25.63
364.14015,4.4515,72.69
364.14826,3.0335,49.42
364.15139,2.4754,40.26
364.15949,0.6498,10.3
364.17655,1.3073,21.09
364.18465,1.12,18.01
364.79985,0.4589,7.16
364.91753,0.5348,8.41
364.91789,2.7587,44.91
364.91816,1.0118,16.24
364.91864,2.9415,47.91
365.0514,0.7648,12.19
365.06264,0.8367,13.36
365.08624,0.4583,7.15
365.08779,8.4523,138.36
365.09902,9.7456,159.58
365.10713,0.8419,13.45
365.11025,0.5316,8.36
365.11836,0.7809,12.45
365.12245,0.4028,6.24
365.12269,0.4318,6.72
365.12417,22.3506,366.46
365.13403,0.404,6.26
365.13541,9.5108,155.73
365.14353,0.8504,13.59
365.14663,0.4276,6.65
365.14914,0.4037,6.26
365.15474,0.7702,12.27
365.16056,15.0858,247.23
365.17179,1.4198,22.93
365.19694,2.5302,41.16
365.3305,0.5015,7.86
366.08304,3.7634,61.4
366.09114,1.6362,26.49
366.09426,1.824,29.57
366.10237,1.8001,29.18
366.11942,7.5048,122.8
366.12753,4.5197,73.81
366.13066,4.3365,70.8
366.13876,1.7537,28.41
366.1558,3.4837,56.81
366.16391,3.0433,49.58
366.16703,0.7742,12.34
366.19219,0.5923,9.35
366.20029,0.6489,10.28
367.06705,3.569,58.21
367.07829,2.6106,42.48
367.08638,0.5354,8.42
367.10344,18.3744,301.2
367.11467,10.6697,174.75
367.12278,1.3842,22.35
367.12591,0.5284,8.3
367.13087,0.5179,8.13
367.13402,0.98740000000000006,15.84
367.13747,1.0388,16.68
367.13779,1.2825,20.68
367.13804,1.2782,20.61
367.13982,23.1124,378.96
367.15105,3.7394,61
367.15917,0.7075,11.24
367.16726,0.4668,7.29
367.17621,7.5436,123.44
367.21261,0.5841,9.22
368.06229,1.0045,16.12
368.07042,0.7037,11.18
368.08163,0.4634,7.24
368.09869,5.8077,94.95
368.10679,3.2314,52.67
368.10992,1.563,25.29
368.11802,2.0676,33.57
368.13507,5.088,83.14
368.14317,4.5548,74.39
368.1463,1.1554,18.6
368.15441,0.7881,12.57
368.17146,1.028,16.5
368.17956,1.561,25.25
368.84376,0.4989,7.82
369.04631,0.5742,9.06
369.07617,0.4703,7.35
369.0827,8.2995,135.85
369.09393,3.3676,54.9
369.09795,0.4077,6.32
369.10133,0.4573,7.14
369.10203,1.1007,17.7
369.11013,0.5068,7.95
369.11102,0.657,10.42
369.11255,0.4318,6.72
369.11909000000003,18.3069,300.09
369.12138,0.5192,8.15
369.13032,4.3495,71.02
369.13435,0.805,12.84
369.13842,0.8318,13.28
369.14406,0.5115,8.03
369.14653,0.5129,8.05
369.15547,11.5289,188.85
369.16673,0.6561,10.4
369.17074,0.5708,9
369.19185,1.7993,29.16
369.74792,0.4656,7.27
369.74829,0.4687,7.33
369.75905,0.5153,8.09
