"M_cal";"MF";"C";"H";"N";"O";"P";"S";"O/C";"H/C";"N/C";"S/C";"DBE";"AI";"NOSC";"n_occurrence";"BottomWater";"NPEqIW";"SRNOM";"U1382A";"U1383C_Deep";"U1383C_Middle";"U1383C_Shallow"
426.16383042297;"C19H26N2O9";19;26;2;9;0;0;0.474;1.368;0.1053;0;8;-0.4;-0.11;5;5.93986;0;0;6.06954;6.68781;6.21696;4.67934
426.18898254303;"C21H30O9";21;30;0;9;0;0;0.429;1.429;0;0;7;-0.2;-0.57;7;40.48726;35.17164;17.41261;29.0909;24.89353;26.649;36.57664
426.22536805238;"C22H34O8";22;34;0;8;0;0;0.364;1.545;0;0;6;-0.1;-0.82;5;6.51803;3.96355;0;4.05013;0;3.58391;5.22379
427.11146049653;"C18H21NO11";18;21;1;11;0;0;0.611;1.167;0.0556;0;9;-0.5;0.22;6;13.80419;6.73172;0;10.67839;11.96524;10.37288;11.57662
427.14784600588;"C19H25NO10";19;25;1;10;0;0;0.526;1.316;0.0526;0;8;-0.4;-0.11;6;12.62537;11.31005;0;10.05088;10.3503;9.77751;10.29444
428.03796120203;"C20H12O11";20;12;0;11;0;0;0.55;0.6;0;0;15;0.4;0.5;1;0;0;10.31819;0;0;0;0
428.05909057009;"C17H16O13";17;16;0;13;0;0;0.765;0.941;0;0;10;-0.8;0.59;1;0;0;27.21048;0;0;0;0
428.07434671138;"C21H16O10";21;16;0;10;0;0;0.476;0.762;0;0;14;0.4;0.19;1;0;0;15.53997;0;0;0;0
428.09547607944;"C18H20O12";18;20;0;12;0;0;0.667;1.111;0;0;9;-0.5;0.22;7;34.92561;12.76378;44.1951;24.56384;25.8329;24.00823;30.73606
428.11073222073;"C22H20O9";22;20;0;9;0;0;0.409;0.909;0;0;13;0.3;-0.09;1;0;0;12.45788;0;0;0;0
428.13186158879;"C19H24O11";19;24;0;11;0;0;0.579;1.263;0;0;8;-0.4;-0.11;7;73.47501;55.66932;42.51413;50.59047;51.95543;48.58926;65.58983
