m/z,I,S/N,Res.
341.0878,49.3709,387.13,2305719
341.10306,6.9425,54.35,2250651
341.11429,1.2684,9.85,1760467
341.12419,34.2392,268.45,2263537
341.13945,4.5293,35.43,2198676
341.16058,6.3846,49.98,2176105
341.17583,2.2182,17.3,2423018
341.8886,1.7697,13.78,1977561
341.99826,1.1924,9.25,2144244
342.02553,1.236,9.6,2124433
342.05478,3.79,29.63,2231917
342.06193,2.1821,17.02,2194307
342.07003,1.7074,13.29,2282377
342.08305,1.8539,14.44,2257564
342.09116,7.394,57.89,2238158
342.09833,1.7009,13.24,2193172
342.12755,5.8534,45.81,2336445
342.76104,3.8618,30.19,2297692
342.8014,1.3106,10.18,1519774
342.82008,1.8065,14.07,2028110
342.88322,5.2926,41.41,2407873
343.00956,2.7042,21.11,2081476
343.03068,5.4162,42.38,2196129
343.04594,9.3138,72.95,2151152
343.04931,1.2668,9.84,2716506
343.05901,2.3545,18.37,1875532
343.06707,21.5054,168.57,2226473
343.08233,10.9735,85.97,2139414
343.08569,2.4956,19.48,2374172
343.0954,1.5877,12.35,2270480
343.10346,24.34,190.81,2263936
343.11872,8.2773,64.82,2139999
343.13985,8.4267,65.99,2270347
343.1551,4.3617,34.11,2366387
343.19149,1.5747,12.25,1915344
344.04119,2.3347,18.21,2033454
344.04929,1.863,14.51,1932722
344.07042,3.437,26.86,2417114
344.07758,2.329,18.17,2215952
344.08568,2.5083,19.57,2022503
344.10681,4.3284,33.85,2173584
344.11396,1.3568,10.54,1875694
344.12207,1.7553,13.67,2069492
344.1432,1.7539,13.66,1978128
344.759,9.7175,76.12,2375298
344.79935,2.5657,20.02,2418228
344.83573,1.395,10.84,2835809
345.0252,6.822,53.41,2243555
345.03828,1.2677,9.84,2407221
345.04047,1.2512,9.71,2174281
345.04634,5.6168,43.96,2221156
345.06159,15.4446,121.04,2178647
345.06497,2.329,18.17,2403630
345.0728,1.2974,10.08,1282959
345.07466,2.3477,18.31,1977520
345.07684,1.2573,9.76,2278096
345.08272,11.5352,90.37,2241554
345.09798,14.6766,115.01,2218448
345.10135,2.9387,22.95,2283577
345.11105,1.7618,13.72,2066646
345.11911,6.4952,50.84,2331783
345.13436,12.148,95.18,2236476
345.17075,4.7051,36.8,2236774
346.02856,1.3702,10.65,1714403
346.05683,3.3818,26.43,2120298
346.06494,2.8921,22.58,2246223
346.08607,1.8187,14.17,2418250
346.09323,3.2162,25.13,2049261
346.10133,3.3969,26.54,1987932
346.1296,1.3787,10.71,2524317
346.13771,2.5585,19.97,2142474
346.17408,1.3179,10.24,1074681
346.75694,11.002,86.19,2275699
346.79729,1.905,14.84,2001614
346.83367,1.3236,10.28,1906489
347.00448,1.6652,12.96,2496105
347.03843,1.2904,10.02,2169739
347.04085,16.6152,130.22,2165328
347.04423,1.6148,12.57,2519992
347.05209,1.2327,9.57,2237845
347.05391,2.5676,20.04,2025821
347.05612,2.7533,21.5,2113039
347.06198,1.7846,13.9,2225775
347.07485,1.3496,10.49,2236358
347.07724,25.5935,200.64,2254719
347.08061,2.3161,18.07,2140403
347.08848,1.8427,14.35,2292667
347.09031,2.3797,18.57,2285307
347.0925,1.5286,11.89,2230294
347.09837,2.3977,18.71,2222295
347.11362,24.7476,194,2249026
347.11701,1.5673,12.19,2378141
347.12487,1.2495,9.7,2085518
347.15001,15.249,119.5,2224886
347.1864,3.6199,28.29,2068071
347.7603,1.199,9.31,2041162
348.0361,2.4185,18.87,2175487
348.04421,3.156,24.65,2294250
348.07249,4.5446,35.55,2134687
348.0806,4.8281,37.77,2177430
348.10887,3.0366,23.72,2168906
348.11699,4.6476,36.35,2136723
348.14526,1.4235,11.07,2263269
348.15337,2.7839,21.74,2164202
348.75491,3.0464,23.79,2262200
348.95404,3.3847,26.45,2198633
349.02012,7.287,57.05,2215277
349.03538,2.7288,21.3,2016945
349.0541,1.1689,9.07,1431919
