m/z,I,S/N,Res.
336.15647,0.9393,15.05,2481049
336.76756,2.4195,39.34,2398932
336.76846,1.7399,28.19,2553360
337.05647,0.6771,10.74,2171510
337.06772,0.986,15.82,1825282
337.09287,4.6631,76.17,2337597
337.1041,8.3631,136.89,2245969
337.11221,0.5018,7.87,1954091
337.11533,0.5543,8.73,2232647
337.12344,0.5231,8.22,2240774
337.12925,9.412,154.1,2344988
337.14048,4.4058,71.94,2334876
337.14859,0.4468,6.96,1731846
337.16564,4.6723,76.32,2369684
337.20202,0.6186,9.78,1892455
338.07107,0.4016,6.22,1227949
338.08811,3.0707,50.03,2412082
338.09621,0.8068,12.87,2464826
338.09935,1.7615,28.54,2200824
338.10745,1.5955,25.82,2284204
338.1245,3.7638,61.4,2326811
338.1326,1.8202,29.51,2368970
338.13573,1.869,30.31,2340053
338.14384,0.8872,14.19,2493387
338.16089,1.2051,19.41,2201697
338.16899,1.1764,18.94,2285927
338.31675,0.4396,6.85,1302810
338.7646,0.5007,7.85,2476838
338.76551,1.3493,21.78,2255287
338.83319,0.522,8.2,1813499
338.88728,1.295,20.89,2406896
339.07213,2.4632,40.06,2337412
339.08336,2.5982,42.28,2399589
339.09147,0.6611,10.48,1949891
339.10851,9.1214,149.34,2340073
339.11975,7.2059,117.9,2364407
339.12786,0.6566,10.41,1404765
339.13501,0.4384,6.83,2238834
339.13909,0.4149,6.44,2364196
339.1449,7.3891,120.9,2358247
339.15613,1.1578,18.64,2295936
339.16015,3.2607,53.15,2393982
339.18128,1.6116,26.08,2277666
339.19991,1.4937,24.15,2152854
340.03865,0.5476,8.62,20287337
340.03884,0.5225,8.21,816398
340.03922,0.5798,9.15,392555
340.06738,0.9512,15.24,2276482
340.07548,0.5131,8.05,1863472
340.08671,0.5059,7.94,1845292
340.10376,3.7088,60.5,2412333
340.11186,1.5833,25.62,2288879
340.11499,1.1566,18.62,2340492
340.1231,1.3888,22.43,2251712
340.14014,1.8708,30.34,2187671
