m/z,I,S/N,Res.
336.15649,0.4755,7.9,2108009
336.18162,0.4432,7.35,1807141
336.18975,0.7017,11.76,2541331
336.76759,1.9355,32.82,2451669
336.76849,1.4067,23.79,2331447
336.93522,0.4935,8.2,1722621
337.05651,1.912,32.42,2229021
337.06774,1.3214,22.34,2157544
337.07585,0.4313,7.14,2095871
337.09289,14.8681,253.59,2282641
337.10412,8.206,139.86,2269836
337.11224,0.9641,16.24,2324397
337.12034,0.4767,7.92,1980061
337.12928,25.9091,442.07,2346625
337.14051,3.9511,67.23,2333800
337.14862,0.5827,9.73,2160052
337.16566,11.4517,195.27,2326396
337.20205,1.1742,19.82,2260294
338.05177,0.564,9.41,2251526
338.08814,6.5662,111.87,2361345
338.09625,2.9212,49.65,2329629
338.09939,1.1198,18.89,2238605
338.10748,1.4408,24.38,2631973
338.12453,6.1456,104.69,2309395
338.13263,4.9826,84.84,2344968
338.13577,0.9983,16.82,2483287
338.14387,0.7382,12.38,2275510
338.16092,1.4152,23.94,2420310
338.16902,2.4868,42.23,2402053
338.76464,0.4667,7.75,2278879
338.76555,1.0158,17.12,2482117
338.88731,4.6126,78.52,2407386
339.07216,7.0476,120.09,2318401
339.08338,3.513,59.75,2378888
339.09149,0.9828,16.56,2424549
339.10854,29.6699,506.27,2380204
339.11978,7.0045,119.35,2304181
339.12379,0.5256,8.75,2381674
339.12788,1.106,18.66,2385659
339.14492,20.6092,351.6,2360913
339.15615,1.0809,18.23,2392423
339.16018,9.0036,153.48,2327827
339.18131,3.9127,66.57,2293109
339.19994,2.273,38.58,2215682
340.0674,2.0805,35.29,2287330
340.07551,1.1292,19.05,2586208
340.08674,0.5733,9.56,2418164
340.10379,7.4675,127.26,2369718
340.11189,5.1495,87.69,2310006
340.11502,1.1513,19.43,2146165
340.11904,0.428,7.08,1768092
340.12313,1.355,22.91,2224611
340.14017,3.1465,53.49,2341839
340.14828,3.9443,67.11,2282544
340.16353,2.1054,35.72,2243806
340.18467,0.9093,15.3,2367882
340.88526,9.4006,160.26,2396382
341.05142,1.6842,28.53,2155995
341.07005,0.5397,8.99,2348519
341.0878,14.4114,245.8,2358502
341.09904,3.2415,55.11,2291849
341.10307,1.1592,19.57,2275344
341.10643,0.5592,9.33,2432526
341.10714,1.1674,19.71,2424363
341.11278,0.459,7.61,2194518
341.11429,0.8578,14.42,2064057
341.11525,0.5054,8.41,2434819
341.12419,22.1026,377.09,2363337
341.13542,2.1004,35.63,2339777
341.13945,1.6046,27.17,2214978
341.14352,0.472,7.84,3047862
341.15067,0.4863,8.08,2611433
341.16058,6.9371,118.2,2308127
341.17584,0.8476,14.25,2393432
341.19697,0.6009,10.04,2092498
341.88862,0.9601,12.73,2204212
342.08305,2.5874,35.07,2239969
342.09116,2.2519,30.47,2280786
342.09831,0.4539,5.77,2338056
342.10238,0.5184,6.66,2183149
342.11944,3.0629,41.6,2235011
342.12755,3.4674,47.16,2262272
342.1347,0.4819,6.16,2358394
342.14594,0.4225,5.34,2638329
342.15583,0.5743,7.43,2130017
342.16393,1.2934,17.3,2141494
342.76104,1.5961,21.46,2179303
342.82008,0.6531,8.51,1942056
342.83777,0.7934,10.44,2354197
342.88322,3.9152,53.31,2390912
343.06707,2.7834,37.77,2225322
343.08231,1.0499,13.96,2154843
343.0857,1.0796,14.37,2335325
343.09357,0.4609,5.87,2381885
343.0954,0.9629,12.76,2040049
343.10346,9.3952,128.56,2234828
343.10663,0.5391,6.95,2398900
343.11469,0.9713,12.88,2313898
343.11871,2.3104,31.27,2279804
343.12208,0.4733,6.04,2146886
343.12279,0.5846,7.57,2054363
343.12995,0.7216,9.45,2229751
343.13179,0.4764,6.08,1831142
343.13984,6.1214,83.6,2245136
343.1551,2.5379,34.39,2225886
343.17622,0.7811,10.27,2077120
343.19148,0.9145,12.1,2004368
343.21261,1.0037,13.33,2038056
343.88657,0.4588,5.84,2645819
344.07043,0.5214,6.7,2578295
344.07757,0.4851,6.2,2123158
344.0987,1.2406,16.58,2287908
344.10681,1.6796,22.61,2247515
344.11395,1.1355,15.14,2245207
344.12207,0.4199,5.31,1963889
344.1252,0.9714,12.88,2201157
344.1351,0.6249,8.12,2000566
344.1432,1.2193,16.29,2113147
344.15035,0.789,10.38,2161515
344.15846,0.5738,7.42,2261502
344.75899,4.5147,61.54,2364504
344.79935,0.7038,9.21,2226219
344.81803,0.4542,5.78,2110267
344.83414,0.497,6.37,2152117
344.83573,1.671,22.49,2258211
345.06158,0.6158,8,2642304
345.06497,0.817,10.76,2449017
345.07282,0.6588,8.59,1994449
345.07466,0.643,8.37,2534020
345.07621,0.4556,5.8,2379833
345.08272,2.4276,32.88,2304433
345.08591,0.432,5.47,1668983
345.09797,3.485,47.4,2270681
345.10135,1.2389,16.55,2129028
345.10921,1.7065,22.98,2250968
345.11104,1.2559,16.79,2177154
345.11911,3.861,52.56,2223249
345.13436,6.9111,94.45,2195272
345.1456,1.2651,16.91,2113112
345.15549,1.0382,13.8,2041082
345.17074,3.8094,51.85,2205726
345.20713,0.8271,10.9,2065174
346.05684,0.4341,5.5,2907763
346.08607,0.4401,5.59,1959071
346.09323,1.6591,22.33,2319078
346.10133,0.8284,10.92,2348777
346.10445,1.1795,15.74,2356602
346.11439,0.629,8.18,1895756
346.12246,0.5574,7.2,2441438
346.1296,2.2685,30.69,2318540
346.13771,1.6023,21.54,2215036
346.14084,1.4602,19.59,2510120
346.16599,0.9204,12.18,1888801
346.1741,0.9288,12.3,2444123
346.75694,5.1624,70.43,2388631
346.83277,0.7884,10.37,2500578
346.83368,0.9892,13.13,2386403
346.99244,0.4145,5.23,2087675
347.07724,3.3807,45.97,2251095
347.08061,1.3876,18.6,1918459
347.08847,2.1858,29.56,2315586
347.0903,0.927,12.27,2599499
347.09837,0.9642,12.78,2394194
347.10808,0.4923,6.3,2527592
347.11362,13.3425,182.77,2303275
347.11699,0.6644,8.66,2495150
347.12486,4.2491,57.89,2320633
347.12668,0.9404,12.45,1800997
347.13475,0.7362,9.65,2136777
347.15001,13.9203,190.7,2264729
347.16124,0.9985,13.25,2361138
347.18639,4.0355,54.96,2270700
348.07249,1.4631,19.63,2071857
348.08057,0.6372,8.29,1969526
348.08373,0.5845,7.57,2573697
348.10887,4.4207,60.25,2228056
348.11698,2.3394,31.67,2273791
348.12011,2.4614,33.34,2265880
348.12821,0.8728,11.53,1956998
348.14526,2.9393,39.91,2268323
348.15336,2.8273,38.37,2276420
348.15649,0.8547,11.28,2217612
348.18166,0.6327,8.23,2039804
348.18975,0.9477,12.56,2014617
348.7549,1.5063,20.23,2297805
348.95404,2.8812,39.11,2257853
349.0565,1.6147,21.72,2147372
349.06774,1.0885,14.49,2297932
349.08736,0.4351,5.52,1997998
349.09289,12.4773,170.89,2292183
349.09626,0.5823,7.54,2147728
349.10412,6.571,89.78,2214792
349.10594,0.6466,8.42,1007372
349.11224,0.6743,8.8,2187322
349.12927,26.5038,363.51,2263582
349.14051,4.4393,60.5,2254698
