m/z,I,S/N,Res.
352.08674,0.5014,8.77,2203099
352.10379,8.4621,153.99,2191894
352.11189,5.7988,105.41,2158931
352.11504,0.7684,13.64,2169964
352.12313,1.2047,21.6,2164318
352.14017,5.2047,94.57,2176230
352.14828,5.1395,93.38,2213258
352.17656,0.5392,9.46,2151867
352.18466,1.3259,23.81,2014174
353.05143,1.2957,23.26,2155933
353.06671,0.4011,6.94,2104370
353.07007,0.5651,9.94,2415641
353.08782,19.359,352.77,2250044
353.09905,3.3563,60.85,2194468
353.10307,0.7037,12.46,2004911
353.10646,0.6543,11.56,2294399
353.10716,1.5605,28.09,2301713
353.11229,0.389,6.72,992831
353.11248,0.3976,6.88,280511
353.11278,0.695,12.3,542835
353.1143,0.4028,6.97,2436583
353.11527,0.6409,11.32,1932957
353.11617,0.4478,7.8,1835262
353.1195,0.574,10.1,163448
353.11969,0.5282,9.26,536454
353.12259,1.0915,19.54,333989
353.12277,1.0861,19.44,323671
353.12421,44.4785,811,2279022
353.13544,3.8982,70.74,2293031
353.13947,0.7886,14.01,2090341
353.14354,0.9833,17.56,2102783
353.14919,0.5483,9.63,2125704
353.16059,16.2551,296.15,2281486
353.17585,0.5255,9.21,1973766
