m/z,I,S/N,Res.
330.10954,0.8728,18.03,2210003
330.13469,0.7004,14.45,1924947
330.14593,0.706,14.57,2258703
330.23671,0.4209,8.64,1788948
330.82008,0.785,16.21,2410229
331.08233,0.7489,15.46,2315278
331.09357,1.0935,22.62,2274560
331.10346,1.0555,21.83,2303880
331.11871,1.9066,39.53,2397420
331.12995,1.8861,39.11,2239326
331.13985,0.5511,11.34,2553957
331.1551,2.1248,44.07,2221648
331.16634,0.4553,9.35,2327057
331.19149,0.7778,16.06,2261486
331.65436,0.4319,8.86,2701914
331.65526,0.7787,16.08,2358533
332.08881,0.6143,12.66,2427390
332.11396,1.1241,23.26,2559556
332.12206,0.4079,8.37,2749368
332.1252,2.3596,48.95,2312775
332.15035,0.8807,18.2,2256270
332.15845,0.5374,11.06,2123731
332.16159,0.6048,12.46,2515053
332.77257,0.723,14.92,2224439
332.7954,0.4031,8.27,1521187
332.81714,0.4243,8.71,2045620
332.98863,0.5011,10.3,1717359
332.98971,0.4985,10.25,1857536
332.99098,0.5909,12.17,1342072
332.99126,0.509,10.47,1838336
332.99605,0.4226,8.67,2405366
332.99847,0.4647,9.55,2166756
332.99927,0.4128,8.47,2269092
333.00101,0.4166,8.55,2520600
333.00617,0.4672,9.6,1497143
333.00918,0.6396,13.18,2843685
333.01265,0.3951,8.1,2431409
333.01331,0.6272,12.93,1467563
333.01361000000003,0.4732,9.72,1925136
333.01507,0.4476,9.19,1819709
333.0616,0.5271,10.84,2473142
333.07283,0.8402,17.36,2229857
333.09798,2.4857,51.57,2371257
333.10921,4.3768,90.9,2338830
333.13436,4.7108,97.84,2356905
333.1456,2.3394,48.53,2396504
333.17075,2.6525,55.04,2247529
333.20711,0.5223,10.74,2268429
334.09322,1.6777,34.77,2328148
334.10134,0.4936,10.15,2570192
334.10446,2.7526,57.12,2509584
334.11257,0.7747,15.99,2481587
334.12961,2.226,46.17,2327122
334.13772,0.8625,17.82,2171880
334.14085,2.7651,57.38,2334954
334.14897,0.485,9.97,2479187
334.16599,0.9176,18.96,2085188
334.17409,0.7482,15.44,2123561
334.76963,0.4721,7.34,2503458
334.77054,1.6636,27.02,2437792
335.07724,1.6806,27.3,2322956
335.08847,4.1741,68.5,2355779
335.10783,0.4059,6.24,2707926
335.11363,6.3085,103.76,2357969
335.12486,8.1017,133.39,2395741
335.13296,0.4215,6.5,2303705
335.13609,0.4551,7.06,2154758
335.14419,0.4968,7.75,2330462
335.15001,6.8,111.88,2379873
335.16124,1.4703,23.83,2356994
335.1864,1.8144,29.51,2330835
336.07249,1.1514,18.56,2460198
336.08372,0.8797,14.07,2269157
336.09183,0.7373,11.72,2415286
336.10888,3.6454,59.76,2277219
336.11698,1.3762,22.27,2187321
336.12011,4.2349,69.5,2311153
336.12821,1.3414,21.7,2460377
336.14526,2.2836,37.27,2374451
336.15337,1.1868,19.14,2344944
336.15649,1.2668,20.47,2065808
336.18165,0.5024,7.84,2169666
336.76758,0.9721,15.6,2431634
336.76849,0.7285,11.57,2176086
337.0565,0.6912,10.96,2193377
337.06774,0.9429,15.11,2220050
337.09289,4.9431,81.2,2331105
337.10412,9.6776,159.42,2330413
337.11223,0.7041,11.17,2318323
337.11536,0.4971,7.75,2212587
337.12346,0.7159,11.36,2198456
337.12928,9.0214,148.58,2281320
337.14051,4.7995,78.83,2197176
