m/z,I,S/N,Res.
324.11701,0.7137,11.14,1978770
324.12014,1.111,17.5,2141437
324.12825,0.7675,12,2543734
324.14529,0.9857,15.5,2573216
324.1534,0.6542,10.19,2773570
324.85399,1.0193,16.03,2400607
324.89434,0.7008,10.93,1827012
325.09293,3.0492,48.54,2431483
325.10415,3.0674,48.83,2392062
325.12931,4.2745,68.16,2340503
325.14055,1.7097,27.09,2366646
325.14458,0.606,9.42,2013738
325.14794,0.5663,8.78,2175535
325.16569,1.6379,25.94,2300761
325.18261,0.4925,7.6,559289
325.18433,34.984,559.92,2417356
325.18563,0.6951,10.84,3555172
325.18587,0.6891,10.75,348400
326.08817,1.4259,22.55,2489827
326.09628,0.6421,9.99,2680016
326.10751,0.6154,9.57,2044764
326.12456,1.4828,23.46,2152748
326.13266,0.897,14.08,2012888
326.18768,7.2989,116.59,2326183
326.8065,1.4616,23.12,2652359
326.85196,0.4688,7.22,2613035
327.07218,1.3294,21,2490979
327.08342,0.6592,10.27,2644597
327.08744,0.5525,8.56,2236424
327.10857,3.8548,61.44,2409565
327.11981,1.5457,24.46,2364252
327.12382,0.9579,15.05,2422018
327.13506,0.6704,10.45,2217051
327.14496,2.2333,35.47,2306091
327.16021,0.9694,15.24,2317674
327.16359,0.8222,12.88,2045161
327.18012,1.7795,28.21,2626652
327.18137,0.6203,9.65,2124256
327.19102,0.7269,11.35,2590289
327.1966,0.5328,8.24,1725359
328.10381,1.2134,19.14,2341516
328.11193,0.6247,9.72,2481115
328.14832,0.4789,7.38,2910044
328.15544,0.5391,8.34,1806680
328.18348,0.4922,7.59,2472662
328.7641,0.4805,7.41,2221497
328.80445,2.7994,44.54,2411239
328.82214,0.8926,14.01,2631317
329.08784000000003,1.4649,23.17,2480216
329.10309,0.7264,11.34,2276224
329.11432,0.9675,15.2,2220395
329.12422,1.7973,28.49,2495073
329.13948,1.7941,28.44,2380951
329.15071,0.8995,14.12,2671255
329.16058,0.58,9,1720997
329.17586,1.3997,22.13,2217784
329.23338,0.527,8.15,2340877
329.65732,0.5668,8.79,1397569
329.71971,0.4727,7.28,1859391
